4.69 ,6.59 ,51.00 ,11.94 
2.03 ,7.86 ,19.00 ,6.46 
9.11 ,6.31 ,46.00 ,8.91 
8.61 ,7.05 ,46.00 ,26.43 
7.13 ,6.50 ,50.00 ,23.57 
2.39 ,6.77 ,38.00 ,24.62 
7.69 ,6.79 ,38.00 ,6.01 
9.30 ,6.81 ,27.00 ,31.57 
5.45 ,7.62 ,5.00 ,18.46 
6.19 ,7.27 ,17.00 ,7.51 
7.93 ,7.53 ,9.00 ,6.52 
4.40 ,7.28 ,17.00 ,25.30 
7.46 ,8.24 ,23.00 ,14.42 
2.01 ,5.55 ,47.00 ,26.31 
2.04 ,6.40 ,23.00 ,17.91 
7.73 ,6.14 ,52.00 ,15.72 
6.35 ,7.58 ,25.00 ,29.46 
8.29 ,8.41 ,39.00 ,12.02 
3.54 ,7.27 ,54.00 ,3.16 
7.44 ,6.26 ,8.00 ,28.41 
